"NumeroEtudiant";"Prenom";"Nom";"Adresse";"CodePostal";"Ville";"TelephoneFixe";"TelephonePortable"
39;"Thierry";"Castelain";"43 Impasse de Pontfou";"86106";"Benur";"0457360896";"0677729555"
40;"Pierre";"Grignon";"21 Boulevard de Clairecombe";"28094";"Puyfeux";"0139797841";"0689891524"
41;"Jean-François";"Larrieu";"52 Chemin de Froidune";"01957";"Conpuygnuse";"0253429055";"0693188140"
42;"Franck";"Giroud";"14 Route de Lai-de-embrum";"49846";"Bopord";"0487475595";"0697152161"
43;"Jean-Marc";"Fortier";"44 Rue de Clairemuraille";"74019";"Mivran";"0433557713";"0768144076"
44;"Louis";"Bouchez";"51 Avenue de Marpère";"06094";"Magne";"0363963654";"0766585605"
45;"Laurent";"Vernay";"47 Ruelle de Franclieu";"15323";"Monmelame";"0381423728";"0792806845"
46;"Patrick";"Blondeau";"70 Impasse de Bellesdouves";"03074";"Puylanbont";"0266729453";"0706833254"
47;"Hervé";"Parent";"79 Boulevard de Moulincourbe";"70722";"Quedy";"0475897589";"0777083800"
48;"Ludovic";"Blanc";"26 Chemin de Roqueblanche";"56035";"Mabanches";"0484768593";"0689018765"
49;"Jonathan";"Merlet";"64 Route de Pierreroyale";"25151";"Tevône";"0376214476";"0631096545"
50;"Jean-François";"Charron";"64 Rue de Nobleville";"09322";"Peyfargues";"0350657450";"0730467639"
51;"Laura";"Andre";"1 Avenue de Grandetour";"55442";"Canpent";"0416844030";"0764585119"
52;"Ambre";"Viard";"93 Ruelle de Clairséjour";"84259";"Acangalle";"0251141967";"0660791214"
53;"Charlotte";"Bayle";"4 Impasse de Mont-sur-croc";"74392";"Dieu";"0265454745";"0746473186"
54;"Fanny";"Cochard";"41 Boulevard de Folfort";"59906";"Lanvame";"0210045468";"0602186657"
55;"Solene";"Caillet";"9 Chemin de Castelfeu";"59854";"Autuse";"0114114335";"0761287614"
56;"Elise";"Lhuillier";"34 Route de Valpère";"79167";"Duire";"0490725967";"0745541807"
57;"Amandine";"Renard";"22 Rue de Malemuraille";"84535";"Brilac";"0219225431";"0796238335"
58;"Emma";"Colas";"67 Avenue de Bourgestroit";"59793";"Lanbavrois";"0179484536";"0678744264"
59;"Melissa";"Delaporte";"31 Ruelle de Morneforge";"86106";"Benur";"0201023545";"0624707220"
60;"Elise";"Guerineau";"3 Impasse de Montcroc";"28094";"Puyfeux";"0100606612";"0725617774"
61;"Sara";"Baptiste";"59 Boulevard de Mermorte";"01957";"Conpuygnuse";"0472263438";"0680108247"
62;"Agathe";"Colson";"6 Chemin de Forgerouge";"49846";"Bopord";"0404336837";"0643260296"
63;"Leane";"Davy";"92 Route de Vigneclair";"74019";"Mivran";"0499436523";"0780820912"
64;"Emilie";"Lhuillier";"59 Rue de Castelloup";"06094";"Magne";"0134239634";"0771662807"
65;"Cloe";"Burel";"39 Avenue de Port-sous-croc";"15323";"Monmelame";"0123629485";"0673946820"
66;"Nina";"Ferrero";"70 Ruelle de Aiguedroite";"03074";"Puylanbont";"0196715972";"0640960158"
67;"Clementine";"Laurent";"59 Impasse de Tertrefou";"70722";"Quedy";"0467028102";"0651714831"
68;"Anna";"Lacour";"94 Boulevard de Riverouge";"56035";"Mabanches";"0395008471";"0680490231"
69;"Juliette";"Ramos";"18 Chemin de Froidforge";"25151";"Tevône";"0191299216";"0610149993"
70;"Charlotte";"Dubos";"98 Route de Bassetour";"09322";"Peyfargues";"0336194095";"0639698117"
71;"Anais";"Tardy";"86 Rue de Talecour";"55442";"Canpent";"0406327242";"0667794124"
72;"Elsa";"Grignon";"83 Avenue de Mortforge";"84259";"Acangalle";"0400529603";"0707255581"
73;"Margot";"Ferrero";"55 Ruelle de Fierfond";"74392";"Dieu";"0222148001";"0754669692"
74;"Fanny";"Pottier";"84 Impasse de Port-neuf";"59906";"Lanvame";"0286259944";"0623802433"
75;"Noemie";"Talon";"45 Boulevard de Précalm";"59854";"Autuse";"0113695884";"0677310826"
76;"Eva";"Labbe";"5 Chemin de Picvieux";"79167";"Duire";"0237371919";"0739222430"
77;"Lina";"Lelong";"38 Route de Nobledune";"84535";"Brilac";"0426176261";"0788990469"
78;"Anais";"Davy";"26 Rue de Castelfort";"59793";"Lanbavrois";"0112156992";"0744398509"
79;"Alexia";"Silvestre";"44 Avenue de Grandroc";"86106";"Benur";"0450913214";"0756170150"
80;"Charlotte";"Lutz";"32 Ruelle de Domville";"28094";"Puyfeux";"0155119909";"0709728400"
81;"Agathe";"Roland";"36 Impasse de Mornesherbes";"01957";"Conpuygnuse";"0160641743";"0624199469"
82;"Meline";"Raynal";"16 Boulevard de Port-fol";"49846";"Bopord";"0270987005";"0688931886"
83;"Oceane";"Gaultier";"21 Chemin de Froidmuraille";"74019";"Mivran";"0118065468";"0618214754"
84;"Margaux";"Lafosse";"79 Route de Castelpuit";"06094";"Magne";"0215925793";"0616436843"
85;"Lucie";"Bodin";"9 Rue de Roquefière";"15323";"Monmelame";"0295461908";"0750856112"
